clinic_name,address,phone,specialties
101SKIN晶漾診所,新北市新店區北新路３段１４５號３樓,02-89111004,皮膚科
101諾貝爾眼科診所,臺北市信義區信義路５段１８號１樓（含夾層）,02-27582889,眼科
3世牙醫診所,臺南市安南區梅花里安中路一段５５７巷１７號２樓,06-2474122,牙科
737媄蒔美學牙醫診所,臺北市內湖區文德路６號１樓,02-26590559,牙科
A21牙醫診所,桃園市中壢區環北路151號1、2樓,03-4517766,牙科
Abc鳳山牙醫診所,高雄市鳳山區維新路１５５號２至４樓,07-7406899,牙科
DR.SHEN醫豪中醫診所,臺中市西區金山路２９號１樓,04-22255228,中醫一般科
一七美生活診所,臺北市士林區中山北路６段１７號（１樓、２樓）,02-28386767,皮膚科
一予中山牙醫診所,臺北市中山區興安街５１之７號１樓,02-25095577,牙科
一予大直牙醫診所,臺北市中山區北安路５７１號１樓,02-25330808,牙科
一二三中醫診所,臺中市西區光明里建國路３號１樓,04-22235343,中醫一般科
一二三診所,臺南市安平區慶平路５１７號１樓,06-2956611,家醫科
一元中醫診所,彰化縣二林鎮東和里中正路２１號,04-8962521,中醫一般科
一元堂中醫診所,基隆市仁愛區成功一路１２５號,02-24338790,中醫一般科
一全診所,屏東縣潮州鎮永春里五福路１８－２號,08-7801917,不分科
一古堂中醫診所,雲林縣莿桐鄉莿桐村中正路６６巷１９─２號,05-5846008,中醫一般科
一品堂中醫診所,南投縣南投市復興路７８號１樓,049-2228696,中醫一般科
一品堂中醫診所,彰化縣和美鎮和西里永樂路６３號,04-7557899,中醫一般科
一品堂中醫診所,新北市蘆洲區中正路１１８號,02-22812373,中醫一般科
一品堂中醫診所,新竹市北區中華路三段１６號,03-5262668,中醫一般科
一品堂中醫診所,桃園市平鎮區延平路二段九一號一樓,03-4952000,中醫一般科
一品堂中醫診所,臺中市沙鹿區興仁里四平街６６號,04-26655567,中醫一般科
一品堂中醫診所,苗栗縣苑裡鎮苑南里信義路５６號１樓,037-869518,中醫一般科
一品堂中醫診所,雲林縣斗六市忠孝里永安路４６號,05-5378567,中醫一般科
一品堂北屯中醫診所,臺中市北屯區昌平路二段３３號１、２樓,04-24228111,中醫一般科
一品堂南屯中醫診所,臺中市南屯區永春東一路７００號１－２樓,04-23821678,中醫一般科
一品堂大甲中醫診所,臺中市大甲區光明路１４０號１樓,04-26885757,中醫一般科
一品堂大里中醫診所,臺中市大里區永大街２０號１、２樓,04-24181159,中醫一般科
一品堂太平中醫診所,臺中市太平區東平路５１１號１、２樓,04-22769911,中醫一般科
一品堂竹北中醫診所,新竹縣竹北市中正東路１４３號１樓、１４５號１至２樓,03-5511695,中醫一般科
一品堂虎尾中醫診所,雲林縣虎尾鎮信義路３８號、４０號之一樓,05-6338336,中醫一般科
一品堂豐原中醫診所,臺中市豐原區圓環北路二段１６１號１－３樓及１６３號１－３樓,04-25232568,中醫一般科
