clinic_name,specialty,address,lat,lng,phone
101SKIN晶漾診所,dermatology,新北市新店區北新路３段１４５號３樓,,,02-89111004
101諾貝爾眼科診所,ophthalmology,臺北市信義區信義路５段１８號１樓（含夾層）,,,02-27582889
3世牙醫診所,dentistry,臺南市安南區梅花里安中路一段５５７巷１７號２樓,,,06-2474122
737媄蒔美學牙醫診所,dentistry,臺北市內湖區文德路６號１樓,,,02-26590559
A21牙醫診所,dentistry,桃園市中壢區環北路151號1、2樓,,,03-4517766
Abc鳳山牙醫診所,dentistry,高雄市鳳山區維新路１５５號２至４樓,,,07-7406899
DR.SHEN醫豪中醫診所,tcm_general,臺中市西區金山路２９號１樓,,,04-22255228
一七美生活診所,dermatology,臺北市士林區中山北路６段１７號（１樓、２樓）,,,02-28386767
一予中山牙醫診所,dentistry,臺北市中山區興安街５１之７號１樓,,,02-25095577
一予大直牙醫診所,dentistry,臺北市中山區北安路５７１號１樓,,,02-25330808
一二三中醫診所,tcm_general,臺中市西區光明里建國路３號１樓,,,04-22235343
一二三診所,family_medicine,臺南市安平區慶平路５１７號１樓,,,06-2956611
一元中醫診所,tcm_general,彰化縣二林鎮東和里中正路２１號,,,04-8962521
一元堂中醫診所,tcm_general,基隆市仁愛區成功一路１２５號,,,02-24338790
一全診所,general_clinic,屏東縣潮州鎮永春里五福路１８－２號,,,08-7801917
一古堂中醫診所,tcm_general,雲林縣莿桐鄉莿桐村中正路６６巷１９─２號,,,05-5846008
一品堂中醫診所,tcm_general,南投縣南投市復興路７８號１樓,,,049-2228696
一品堂中醫診所,tcm_general,彰化縣和美鎮和西里永樂路６３號,,,04-7557899
一品堂中醫診所,tcm_general,新北市蘆洲區中正路１１８號,,,02-22812373
一品堂中醫診所,tcm_general,新竹市北區中華路三段１６號,,,03-5262668
一品堂中醫診所,tcm_general,桃園市平鎮區延平路二段九一號一樓,,,03-4952000
一品堂中醫診所,tcm_general,臺中市沙鹿區興仁里四平街６６號,,,04-26655567
一品堂中醫診所,tcm_general,苗栗縣苑裡鎮苑南里信義路５６號１樓,,,037-869518
一品堂中醫診所,tcm_general,雲林縣斗六市忠孝里永安路４６號,,,05-5378567
一品堂北屯中醫診所,tcm_general,臺中市北屯區昌平路二段３３號１、２樓,,,04-24228111
一品堂南屯中醫診所,tcm_general,臺中市南屯區永春東一路７００號１－２樓,,,04-23821678
一品堂大甲中醫診所,tcm_general,臺中市大甲區光明路１４０號１樓,,,04-26885757
一品堂大里中醫診所,tcm_general,臺中市大里區永大街２０號１、２樓,,,04-24181159
一品堂太平中醫診所,tcm_general,臺中市太平區東平路５１１號１、２樓,,,04-22769911
